PWSCity	WSState	WSZipCode	lon	lat
IONE	WA	99139	-117.4171886	48.7410261
SOUTH CLE ELUM	WA	98943	-120.9548359	47.1882904
RENTON	WA	98058	-122.1101712	47.454
MINERAL	WA	98355	-122.181595	46.7168179
SELAH	WA	98942	-120.5300666	46.6540153
SOUTH BEND	WA	98586	-123.8046063	46.6631549
CONCONULLY	WA	98819	-119.7497894	48.557371
GREENWATER	WA	98022	-121.6316552	47.148994
SULTAN	WA	98294	-121.8165095	47.8626013
OMAK	WA	98841	-119.5275506	48.4109853
BUCODA	WA	98530	-122.8731314	46.7974169
NEAH BAY	WA	98357	-124.6249602	48.3681223
SKAMANIA	WA	98648	-122.0488678	45.6176095
TEKOA	WA	99033	-117.0721213	47.2232314
PASCO	WA	99302	-119.0905528	46.2309469
SPOKANE VALLEY	WA	99216	-117.2108822	47.6761145
VASHON	WA	98070	-122.4598502	47.4473204
GREENACRES	WA	99016	-117.1643804	47.6677705
SEATTLE	WA	98126	-122.3736284	47.5762049
SPOKANE	WA	99224	-117.5361046	47.6728781
FAIRCHILD AFB	WA	99011	-117.6526326	47.6266051
CAMANO ISLAND	WA	98282	-122.487614	48.1712723
LILLIWAUP	WA	98555	-123.0501032	47.5932586
ELTOPIA	WA	99330	-118.9645387	46.4878449
CAMAS	WA	98607	-122.3995363	45.5870631
LONGBRANCH	WA	98351	-122.7701447	47.2013207
CARNATION	WA	98014	-121.9140073	47.6478787
SEATTLE	WA	98144	-122.303649	47.5845757
GIG HARBOR	WA	98329	-122.7217302	47.3697462
CARBONADO	WA	98323	-122.0515005	47.0798248
SPOKANE	WA	99213	-117.43	47.6599999
CARSON	WA	98610	-121.90639	45.80833
PRESCOTT	WA	99348	-118.3149677	46.2995837
TUKWILA	WA	98168	-122.295521	47.4886652
EVERETT	WA	98207	-122.2155826	47.9907641
COUPEVILLE	WA	98239	-122.6862804	48.2198208
CATHLAMET	WA	98612	-123.3831834	46.2031656
SEATTLE	WA	98134	-122.3406748	47.583863
ENTIAT	WA	98822	-120.20841	47.6759636
SPOKANE	WA	99208	-117.4644801	47.7872368
TULALIP	WA	98271	-122.2605267	48.0988549
PESHASTIN	WA	98847	-120.6319144	47.4904544
CHINOOK	WA	98614	-123.9454273	46.2728802
EASTON	WA	98925	-121.1789787	47.23706
WILKESON	WA	98396	-122.0456673	47.1053802
MEDICAL LAKE	WA	99022	-117.6821604	47.5729426
FORKS	WA	98331	-124.3955202	47.9368782
CLINTON	WA	98236	-122.3556962	47.9784276
SATSOP	WA	98583	-123.4837041	47.0015182
EVERETT	WA	98201	-122.1914014	47.9990269
COPALIS BEACH	WA	98535	-124.1737879	47.1125856
LACEY	WA	98513	-122.8231915	47.0342629
COLTON	WA	99113	-117.1284985	46.56794
ROCK ISLAND	WA	98850	-120.0988019	47.3441542
MOXEE	WA	98936	-120.3831623	46.5537327
CONNELL	WA	99326	-118.8611117	46.6634733
TACOMA	WA	98445	-122.4124378	47.1357484
RENTON	WA	98056	-122.1909906	47.5105794
COULEE DAM	WA	99116	-118.9761322	47.9654304
MONTESANO	WA	98563	-123.6026629	46.9812062
WILLARD	WA	98605	-121.6309083	45.7809516
TOLEDO	WA	98591	-122.846783	46.4398305
MARYSVILLE	WA	98270	-122.1492224	48.0563616
JOYCE	WA	98343	-123.7350377	48.1360514
PRESTON	WA	99117	145.0507656	-37.7282694
PUYALLUP	WA	98371	-122.3213693	47.1971241
KENT	WA	98035	-122.23	47.38
SNOHOMISH	WA	98296	-122.0938937	47.8313268
LYNNWOOD	WA	98036	-122.3151313	47.8209301
WOODINVILLE	WA	98077	-122.0417346	47.7597609
CRYSTAL MOUNTAIN	WA	98022	-121.5045349	46.928168
AMBOY	WA	98601	-122.446487	45.9101124
CURLEW	WA	99118	-118.5994651	48.8834681
UNDERWOOD	WA	98651	-121.5840438	45.7341768
TACOMA	WA	98446	-122.3757983	47.136478
SOAP LAKE	WA	98851	-119.490591	47.389307
DARRINGTON	WA	98241	-121.6015142	48.2553867
SILVERDALE	WA	98383	-122.6948697	47.6445386
REARDAN	WA	99029	-117.8777336	47.6696057
BELLINGHAM	WA	98228	-122.46	48.77
BLAKELY ISLAND	WA	98222	-122.7982346	48.5628631
PUYALLUP	WA	98373	-122.3239889	47.1474103
DESERT AIRE	WA	99349	-119.9172672	46.6792986
SEATTLE	WA	98124	-122.33	47.61
WILBUR	WA	99185	-118.7409278	47.7560527
MARSHALL	WA	99020	-117.4971298	47.564148
FEDERAL WAY	WA	98003	-122.3223975	47.3165043
DRYDEN	WA	98821	-120.5602619	47.5407728
DUVALL	WA	98019	-121.9856781	47.7423218
CENTERVILLE	WA	98613	-120.9047882	45.7531787
SPOKANE VALLEY	WA	99212	-117.3086825	47.6625469
SALKUM	WA	98542	-122.6298537	46.5322115
SNOQUALMIE	WA	98065	-121.8253906	47.5287132
EDMONDS	WA	98026	-122.3390639	47.8369467
EDWALL	WA	99008	-117.9018888	47.4921479
TOPPENISH	WA	98948	-120.3086667	46.3773509
